Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes,clean_comments,language
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Jethalal is only understanding Abdul’s problem,Ugw3-IsnSwEO2dvUrxl4AaABAg,3,179,Jethalal is only understanding Abdul’s problem,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Why they scolding Abdul for 5 rupess,UgypZNP_eOAgf4QZ8Kt4AaABAg,0,106,Why they scolding Abdul for 5 rupess,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Abdul does so many things for society he delivers things whenever someone calls and much supportive towards them he gives milk at time I feel they all forgot all that!!!,Ugx1o1PKvI9YaxbNIAR4AaABAg,6,216,Abdul does so many things for society he delivers things whenever someone calls and much supportive towards them he gives milk at time I feel they all forgot all that!!!,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,I feel bad for Abdul's character.,UgyhJS998oiYtYhcCTJ4AaABAg,10,164,I feel bad for Abdul's character.,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,In Business relationship matters.. You can't deny a long years relationship just because of few Rupees .. This shouldn't do to Abdul ..,Ugz8_pL6NXaurq20Wnd4AaABAg,2,155,In Business relationship matters.. You can't deny a long years relationship just because of few Rupees .. This shouldn't do to Abdul ..,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Abdul is really a good man. I like him💕💕💕,UgyBB1O7NhZFYOhjDZ54AaABAg,0,41,Abdul is really a good man. I like him,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,In this episode tapu wants to go for movie and restau for party father gives 1000 but fair reason for infaltion in vegtable and milk is not acceptable. Until  now i have not seen the farmer a rich man while hotels owners are richer. Not good. What common man wants is to reduce the unwanted.. Not daily needs,UgxvdUgJfknR8tSB9Qp4AaABAg,6,167,In this episode tapu wants to go for movie and restau for party father gives 1000 but fair reason for infaltion in vegtable and milk is not acceptable. Until  now i have not seen the farmer a rich man while hotels owners are richer. Not good. What common man wants is to reduce the unwanted.. Not daily needs,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Happy Birthday jethalal,UgwPOALruZaL_Hs-nXN4AaABAg,5,246,Happy Birthday jethalal,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,"Why they are selfish??? And blamming Abdul.He is very good in work.Shame bhide,Mehta,iyer,komal,popatlal.Shame",UgylY0x64dLna_yyHvB4AaABAg,1,23,"Why they are selfish??? And blamming Abdul.He is very good in work.Shame bhide,Mehta,iyer,komal,popatlal.Shame",en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,I can’t believe jethalel is best why everyone blaming on abdul,UgzDR7-uK0tCAmebdMJ4AaABAg,3,125,I can’t believe jethalel is best why everyone blaming on abdul,en
